blue advantage;53.4709809399;
n Data;name;elo;
3;WG;-238.999882366;;
35;WE;42.3492138433;;
6;Denial;-511.641713444;;
7;Stealths;446.934671985;;
45;SF5;-425.000972562;;
0;Necrofantasian;0.0;;
12;Machi;-666.18004471;;
17;SAJ;-539.831832918;;
14;G2;-511.37374119;;
0;Shantao MW;0.0;;
12;Reason;-573.786570334;;
22;KT Arrows;690.760680146;;
13;UoL;-334.155601356;;
75;SK Gaming;250.447436123;;
4;CJ Frost;501.288129861;;
0;Rampage;0.0;;
49;Star Horn Royal Club;220.90703407;;
0;Skyline;0.0;;
72;Alliance;353.364354927;;
9;TPS;-492.114283742;;
0;mouz;0.0;;
0;y so;0.0;;
0;To be Decided;0.0;;
18;SG Blue;793.283015522;;
42;vVv;-344.730977998;;
11;7w Lyon;-362.78418391;;
93;Fnatic;298.497236185;;
6;IPT;-155.437100034;;
0;FFG;0.0;;
76;Copenhagen Wolves;93.0689249442;;
3;vVv White;-636.969174926;;
6;Falcons;444.693066145;;
7;DTG;68.8350997571;;
0;EYES;0.0;;
0;neXt;0.0;;
0;Invaders;0.0;;
0;Thunderbot Sparta;0.0;;
0;HB;0.0;;
21;Email;-411.410139958;;
8;CJ Blaze;369.027968068;;
31;XDG;-159.035817587;;
5;The Time Police;-28.892808346;;
15;iSR;-586.709697655;;
0;B. Miracle;0.0;;
3;TCM;-225.453242253;;
16;log F;-393.052583194;;
10;MLE;-617.64902191;;
4;iSL;-38.2568210849;;
13;yoe.FW;-401.547317371;;
58;EG;8.43742432841;;
3;TTD;54.6371263112;;
28;WE Acad;-94.9673206865;;
86;C;-80.8687316074;;
76;Team SoloMid;162.962171027;;
0;Team Coast Gold;0.0;;
25;SK Prime;-205.766576279;;
0;Zenith eSports;0.0;;
59;coL;-39.1306753441;;
0;ANG;0.0;;
104;Team Curse;36.1590445;;
23;Full Louis;-389.200348601;;
12;Wargods;-727.360026869;;
16;KT Bullets;381.538475045;;
25;TBD;-66.6732648614;;
5;Lyon;-303.909813304;;
0;4everzenzyg;0.0;;
10;IO;-610.059914933;;
8;coL.Red;-524.063716154;;
0;RED;0.0;;
24;ahq;-252.187974685;;
59;COG;-532.110245715;;
0;ISG;0.0;;
0;Immunity;0.0;;
0;RPE Eclipse;0.0;;
6;BKT;154.338230001;;
0;Area of Effect;0.0;;
26;ggLA;-310.876081669;;
21;NJWS;725.661814318;;
3;Steve Bakes;-54.6371263578;;
78;C9;209.672126289;;
38;Edward Gaming;261.565475783;;
0;MYM;0.0;;
0;XDG Virtus;0.0;;
75;ROCCAT;195.721524039;;
25;VES;-615.940776459;;
3;AwS;50.2218028529;;
74;CLG;23.7109972891;;
0;NDG;0.0;;
3;prOp;-309.66364053;;
0;KaBuM;0.0;;
29;H2k;-204.80471132;;
78;Gambit;82.5209430737;;
17;SKT T1 S;614.175353655;;
54;OMG;146.087314399;;
0;Departed;0.0;;
67;LMQ;132.236261849;;
0;Ducks;0.0;;
26;Young Glory;68.5018980631;;
18;SG White;803.354431224;;
25;SKT T1 K;501.31164516;;
6;Pulse Esports;29.4730345531;;
0;EP.HK;0.0;;
77;Crs Acad;-134.140953156;;
26;NiD;-365.136489176;;
0;No Mercy;0.0;;
35;NiP;-330.312171463;;
28;coL.Black;-122.496681347;;
0;MKZ;0.0;;
0;DP;0.0;;
69;Team Dignitas;22.0342168685;;
0;GG Call Nash;0.0;;
26;TPA;-35.6534392081;;
10;SGS;-475.989619469;;
0;TT BLUE;0.0;;
0;Denial.EU;0.0;;
0;MiTH FD;0.0;;
19;NJBS;647.084281954;;
0;TGF;0.0;;
63;SHC XD;206.474820701;;
36;iG;26.2581605202;;
67;Millenium;94.2022661415;;
39;T8;-65.9217707978;;
20;C9T;-133.477385013;;
44;LoLPro;-348.376209875;;
0;Everfrag;0.0;;
6;IM 2;589.853371753;;
0;Lublin Shore;0.0;;
6;IM 1;489.995755118;;
0;ESC;0.0;;
5;C9E;165.402914038;;
11;STNA;-631.987309644;;
0;Gamania;0.0;;
0;Kappa Team;0.0;;
3;SGC;-50.2218028995;;
0;Tricked;0.0;;
42;LGD;62.9018362663;;
0;iS;0.0;;
