Description;Bet on;Money Line;My Money Line;Amount Bet;Result;Date Post;Date Resolved;$;Expected;sumexp;expected by them;0.259084;;ROI;0.23
EU Summer Playoffs 2014 - 5th Place Match - SHC XD & Millenium;SHC XD;1.5;1.316;27.97;13.99;;2014-08-14;13.99;3.910699088;3.910699088;-1.331904762;-1.331904762;1.582278481;;
EU Summer Playoffs 2014 - Semifinals - Fnatic & ROCCAT;Fnatic;1.296;1.208;2.78;0.82;;2014-08-15;14.81;0.202516556;4.113215644;-0.132380952;-1.464285714;1.423076923;;
EU Summer Playoffs 2014 - Semifinals - Fnatic & ROCCAT;Fnatic;1.307;1.212;2.12;0.65;;2014-08-15;15.46;0.166171617;4.279387262;-0.100952381;-1.565238095;1.448113208;;
EU Summer Playoffs 2014 - Semifinals - Alliance & SK Gaming;Alliance;1.303;1.243;25.64;7.79;;2014-08-15;23.25;1.237650845;5.517038106;-1.220952381;-2.786190476;1.24691358;;
EU Summer Playoffs 2014 - Final - Alliance & Fnatic;Alliance;1.591;1.42;6.4;3.79;16/8/2014;2014-08-17;27.04;0.770704225;6.287742332;-0.304761905;-3.090952381;1.407142857;;
EU Summer Playoffs 2014 - Final - Alliance & Fnatic;Alliance;1.641;1.42;2.44;1.56;;2014-08-17;28.60;0.379746479;6.667488811;-0.116190476;-3.207142857;1.526190476;;
EU Summer Playoffs 2014 - Final - Alliance & Fnatic (Map 1);Alliance;1.793;1.632;2.88;2.29;16/8/2014;2014-08-17;30.89;0.284117647;6.951606458;-0.137142857;-3.344285714;1.254746835;;
EU Summer Playoffs 2014 - Final - Alliance & Fnatic (HC -1,5);Alliance;2.37;;3.73;5.11;16/8/2014;2014-08-17;36.00;0.96638332;7.917989778;-0.177619048;-3.521904762;-1.37;;
LPL Summer Playoffs 2014 - Semi-Final - OMG & Star Horn Royal Club;Star Horn Royal Club;2.09;1.933;1.09;-1.09;19/8/2014;2014-08-20;34.91;0.088530781;8.006520559;-0.051904762;-3.573809524;1.168274384;;
LPL Summer Playoffs 2014 - loser bracket - LGD Gaming & Star Horn Royal Club;LGD Gaming;3.57;2.846;1.1;-1.1;21/8/2014;2014-08-22;33.81;0.279831342;8.286351901;-0.052380952;-3.626190476;1.39219935;;
LPL Summer Playoffs 2014 - loser bracket - LGD Gaming & Star Horn Royal Club (HC + 1,5);LGD Gaming;2.23;1.866;2.02;-2.02;20/8/2014;2014-08-22;31.79;0.394040729;8.68039263;-0.096190476;-3.722380952;1.420323326;;
NA Summer Playoffs 2014 - Quarterfinals - Team SoloMid & Team Dignitas (Map 1);Team SoloMid;1.624;1.345;11.42;-11.42;19/8/2014;2014-08-23;20.37;2.368907063;11.04929969;-0.543809524;-4.266190476;1.808695652;;
Taipei Snipers vs Saigon Fantastic Five (+1.5) for Match.;Saigon Fantastic Five;2.85;1.896;2.96;5.48;22/8/2014;2014-08-23;25.85;1.489367089;12.53866678;-0.140952381;-4.407142857;2.064732143;;
Tapei Snipers vs Saigon Fantastic Five (+2.5) for Match.;Saigon Fantastic Five;1.5;1.308;3.48;1.74;22/8/2014;2014-08-23;27.59;0.510825688;13.04949247;-0.165714286;-4.572857143;1.623376623;;
NA Summer Playoffs 2014 - Quarterfinals - Team SoloMid & Team Dignitas;Team SoloMid;1.487;1.365;1.97;0.96;;2014-08-24;28.55;0.17607326;13.22556573;-0.093809524;-4.666666667;1.334246575;;
NA Summer Playoffs 2014 - Quarterfinals - Team SoloMid & Team Dignitas;Team SoloMid;1.487;1.365;1.8;0.88;;2014-08-24;29.43;0.160879121;13.38644485;-0.085714286;-4.752380952;1.334246575
NA Summer Playoffs 2014 - Quarterfinals - CLG & Team Curse;CLG;1.769;1.559;7.46;-7.46;;2014-08-24;21.97;1.00487492;14.39131977;-0.355238095;-5.107619048;1.375670841
NA Summer Playoffs 2014 - Quarterfinals - Team SoloMid & Team Dignitas;Team SoloMid;1.369;1.124;23.48;8.66;19/8/2014;2014-08-24;30.63;5.11797153;19.5092913;-1.118095238;-6.225714286;2.975806452
NA Summer Playoffs 2014 - Quarterfinals - Team SoloMid & Team Dignitas (HC -1,5);Team SoloMid;1.806;1.374;11.93;9.62;19/8/2014;2014-08-24;40.25;3.750917031;23.26020833;-0.568095238;-6.793809524;2.155080214
NA Summer Playoffs 2014 - Quarterfinals - Team Curse & Team CLG (HC +1,5);Team Curse;1.769;;1.09;0.84;;2014-08-24;41.09;0.28240156;23.54260989;-0.051904762;-6.845714286;-0.769
Edward Gaming vs OMG (+1.5) for Match.;OMG;2.55;2.155;4.26;-4.26;24/8/2014;2014-08-24;36.83;0.780835267;24.32344516;-0.202857143;-7.048571429;1.341991342
Team Curse (+1.5) vs CLG for Match.;Team Curse;1.8;1.496;3.02;2.42;24/8/2014;2014-08-24;39.25;0.61368984;24.937135;-0.143809524;-7.192380952;1.612903226
Samsung Galaxy White vs SK Telekom T1 K for Match.;Samsung Galaxy White;1.598;1.089;37.76;22.61;25/8/2014;2014-08-27;61.86;17.64907254;42.58620754;-1.798095238;-8.99047619;6.719101124
Najin White Shield (-1.5) vs KT Rolster Bullets for Match.;Najin White Shields;1.98;1.456;6.21;6.09;25/8/2014;2014-08-28;67.95;2.234917582;44.82112512;-0.295714286;-9.286190476;2.149122807
Najin White Shield vs KT Rolster Bullets for Match.;Najin White Shields;1.476;1.173;9.78;4.66;25/8/2014;2014-08-28;72.61;2.52629156;47.34741668;-0.465714286;-9.751904762;2.751445087
Najin White Shield (-1.5) vs KT Rolster Bullets for Match.;Najin White Shields;1.892;1.458;1.13;1.01;27/8/2014;2014-08-28;73.62;0.336364883;47.68378157;-0.053809524;-9.805714286;1.947598253
Najin White Shield vs KT Rolster Bullets for Match.;Najin White Shields;1.37;1.146;2.86;1.06;27/8/2014;2014-08-28;74.68;0.559022688;48.24280425;-0.136190476;-9.941904762;2.534246575
LMQ vs Team SoloMid (+1.5) for Match.;Team SoloMid;1.9;1.656;3.66;3.3;26/8/2014;2014-08-30;77.98;0.539275362;48.78207962;-0.174285714;-10.11619048;1.37195122
LMQ vs Team SoloMid for Match.;Team SoloMid;3.51;2.631;1.97;4.94;27/8/2014;2014-08-30;82.92;0.658164196;49.44024381;-0.093809524;-10.21;1.53893317
CLoud 9 (map 1) vs Team Curse (map 1) for Match.;Cloud 9;1.666;1.335;3.19;2.13;26/8/2014;2014-08-30;85.05;0.790928839;50.23117265;-0.151904762;-10.36190476;1.988059701
CLoud 9 (map 1) vs Team Curse (map 1) for Match.;Cloud 9;1.666;1.336;1.74;1.16;27/8/2014;2014-08-30;86.21;0.429790419;50.66096307;-0.082857143;-10.4447619;1.982142857
CLG vs Team Dignitas for Match.;CLG;1.666;1.398;4.06;-4.06;26/8/2014;2014-08-30;82.15;0.778311874;51.43927495;-0.193333333;-10.63809524;1.673366834
CLG vs Team Dignitas for Match.;CLG;1.8;1.398;3.55;-3.55;27/8/2014;2014-08-30;78.60;1.020815451;52.4600904;-0.169047619;-10.80714286;2.010050251
CLG (map 1) vs Team Dignitas (map 1) for Match.;CLG;1.769;1.519;2.82;2.17;26/8/2014;2014-08-30;80.77;0.464121132;52.92421153;-0.134285714;-10.94142857;1.481695568
CLG (map 1) vs Team Dignitas (map 1) for Match.;CLG;1.833;1.517;2.2;1.83;27/8/2014;2014-08-30;82.60;0.458272907;53.38248444;-0.104761905;-11.04619048;1.611218569
LMQ vs Team SoloMid (+1.5) for Match.;Team SoloMid;2.17;1.658;1.64;1.92;2014-08-28;2014-08-30;84.52;0.506441496;53.88892593;-0.078095238;-11.12428571;1.778115502
CLoud 9 (map 1) vs Team Curse (map 1) for Match.;Cloud 9;1.666;1.329;1.34;0.89;2014-08-28;2014-08-30;85.41;0.339789315;54.22871525;-0.063809524;-11.18809524;2.024316109
CLG vs Team Dignitas for Match.;CLG;1.847;1.395;1.67;-1.67;2014-08-28;2014-08-30;83.74;0.541103943;54.76981919;-0.07952381;-11.26761905;2.144303797
LMQ vs Team SoloMid (+1.5) for Match.;Team SoloMid;2.38;1.658;1.74;2.4;2014-08-28;2014-08-30;86.14;0.757708082;55.52752727;-0.082857143;-11.35047619;2.097264438
CLG vs Team Dignitas for Match.;CLG;2.04;1.395;1.16;-1.16;2014-08-28;2014-08-30;84.98;0.536344086;56.06387136;-0.055238095;-11.40571429;2.632911392
CLG (map 1) vs Team Dignitas (map 1) for Match.;CLG;1.934;1.51;1.85;1.73;2014-08-28;2014-08-30;86.71;0.519470199;56.58334156;-0.088095238;-11.49380952;1.831372549
SK Telekom T1 K vs Najin White Shield (+1.5) for Match.;Najin White Shields;1.571;1.02;13.94;7.97;2014-08-29;2014-08-30;94.68;7.530333333;64.11367489;-0.663809524;-12.15761905;28.55
SK Telekom T1 K vs Najin White Shield for Match.;Najin White Shields;2.01;1.05;11.63;11.75;2014-08-29;2014-08-30;106.43;10.63314286;74.74681775;-0.553809524;-12.71142857;20.2
SK Telekom T1 K (map 1) vs Najin White Shield (map 1) for Match.;Najin White Shields;2.03;1.266;8.13;8.37;2014-08-29;2014-08-30;114.80;4.906255924;79.65307367;-0.387142857;-13.09857143;3.872180451
LMQ vs Team SoloMid (+1.5) for Match.;Team SoloMid;2.38;;2.14;2.95;2014-08-30;2014-08-30;117.75;0.55443976;80.20751343;-0.101904762;-13.20047619;-1.38
LMQ vs Team SoloMid for Match.;Team SoloMid;3.85;2.5;1.83;5.22;2014-08-30;2014-08-30;122.97;0.9882;81.19571343;-0.087142857;-13.28761905;1.9
Cloud 9 vs Team Curse for Match.;Cloud 9;1.444;1.168;4.73;2.1;26/8/2014;2014-08-30;125.07;1.117705479;82.31341891;-0.225238095;-13.51285714;2.642857143
Cloud 9 vs Team Curse for Match.;Cloud 9;1.357;1.169;1.4;0.5;27/8/2014;2014-08-30;125.57;0.225149701;82.53856861;-0.066666667;-13.57952381;2.112426036
Cloud 9 (-1.5) vs Team Curse for Match.;Cloud 9;1.952;1.511;2.55;2.43;26/8/2014;2014-08-30;128.00;0.744242224;83.28281083;-0.121428571;-13.70095238;1.863013699
Cloud 9 (-1.5) vs Team Curse for Match.;Cloud 9;2;1.514;1.57;1.57;27/8/2014;2014-08-30;129.57;0.503976222;83.78678706;-0.074761905;-13.77571429;1.945525292
Cloud 9 vs Team Curse for Match.;Cloud 9;1.392;1.166;2.36;0.93;2014-08-28;2014-08-30;130.50;0.457427101;84.24421416;-0.112380952;-13.88809524;2.361445783
Cloud 9 vs Team Curse for Match.;Cloud 9;1.4;;2.17;0.87;2014-08-30;2014-08-30;131.37;0.56221228;84.80642644;-0.103333333;-13.99142857;-0.4
LMQ (map 1) vs Team Curse (map 1) for Match.;LMQ;1.555;1.431;7.8;-7.8;2014-09-31;2014-08-31;123.57;0.675890985;85.48231742;-0.371428571;-14.36285714;1.287703016
CLoud 9 (map 1) vs Team SoloMid (map 1) for Match.;C9;1.602;1.464;7.91;4.77;2014-09-31;2014-09-01;128.34;0.745614754;86.22793218;-0.376666667;-14.73952381;1.297413793
CLoud 9 vs Team SoloMid for Match.;C9;1.401;1.304;4.15;-4.15;2014-09-31;2014-09-01;124.19;0.308703988;86.53663616;-0.197619048;-14.93714286;1.319078947
CLoud 9 vs Team SoloMid (+1.5) for Match.;Team SoloMid;3.04;2.12;5.76;11.75;2014-09-31;2014-09-01;135.94;2.499622642;89.03625881;-0.274285714;-15.21142857;1.821428571
CLoud 9 vs Team SoloMid for Match.;Team SoloMid;6.07;4.05;1.64;8.31;2014-09-31;2014-09-01;144.25;0.817975309;89.85423411;-0.078095238;-15.28952381;1.662295082
OMG (-1.5) vs Invictus Gaming for Match.;OMG;2.35;2.178;1.15;1.55;2014-08-30;2014-09-06;145.80;0.090817264;89.94505138;-0.054761905;-15.34428571;1.146010187
Star Horn Royal Club (-1.5) vs LGD Gaming for Match.;Star Horn Royal Club;2.2;1.662;9.98;11.98;2014-08-30;2014-09-06;157.78;3.230589651;93.17564103;-0.475238095;-15.81952381;1.812688822
Star Horn Royal Club vs LGD Gaming for Match.;Star Horn Royal Club;1.387;1.228;12.4;4.81;2014-08-30;2014-09-06;162.59;1.605537459;94.78117849;-0.59047619;-16.41;1.697368421
OMG (-1.5) vs Invictus Gaming for Match.;OMG;2.46;2.178;2.39;3.49;2014-09-31;2014-09-06;166.08;0.309449036;95.09062752;-0.113809524;-16.52380952;1.239388795
OMG vs Star Horn Royal Club for Match.;Star Horn Royal Club;2.35;1.614;28.58;38.56;2014-09-06;2014-09-07;204.64;13.03276332;108.1233908;-1.360952381;-17.8847619;2.198697068
H2k vs Copenhagen Wolves for Match.;H2k;1.714;1.163;53.69;-53.69;2014-09-06;2014-09-09;150.95;25.43696475;133.5603556;-2.556666667;-20.44142857;4.380368098
CLG vs Curse Academy for Match.;CLG;1.344;1.106;41.11;14.26;2014-09-07;2014-09-09;165.21;8.846455696;142.4068113;-1.957619048;-22.39904762;3.245283019
CLG vs Curse Academy for Match.;CLG;1.363;1.104;26.13;10.23;2014-09-08;2014-09-09;175.44;6.13013587;148.5369472;-1.244285714;-23.64333333;3.490384615
Gambit Gaming (-1.5) vs SK Prime for Match.;Gamibt Gaming;2.19;1.008;36.91;43.92;2014-09-09;2014-09-10;219.36;43.28136905;191.8183162;-1.757619048;-25.40095238;148.75
Gambit Gaming vs SK Prime for Match.;Gamibt Gaming;1.555;1.001;46.91;26.06;2014-09-09;2014-09-10;245.42;25.96217782;217.780494;-2.233809524;-27.6347619;555
Evil Geniuses vs Team Coast (+1.5) for Match.;Team Coast;2.26;1.357;15.73;-15.73;2014-09-09;2014-09-10;229.69;10.46734709;228.2478411;-0.749047619;-28.38380952;3.529411765
Evil Geniuses vs Team Coast for Match.;Team Coast;3.57;1.886;8.71;-8.71;2014-09-09;2014-09-10;220.98;7.777115589;236.0249567;-0.414761905;-28.79857143;2.900677201
Evil Geniuses vs Team Coast (+1.5) for Match.;Team Coast;2.37;1.358;29.67;-29.67;2014-09-10;2014-09-10;191.31;22.11048601;258.1354427;-1.412857143;-30.21142857;3.826815642
Evil Geniuses vs Team Coast for Match.;Team Coast;3.77;1.884;22;-22;2014-09-10;2014-09-10;169.31;22.02335456;280.1587973;-1.047619048;-31.25904762;3.133484163
Millenium (-1.5) vs Unicoms of Love for Match.;Millenium;1.869;1.036;38.32;;2014-09-10;;169.31;30.81135135;310.9701486;-1.824761905;-33.08380952;24.13888889
Millenium vs Unicoms of Love for Match.;Millenium;1.434;1.004;46.79;;2014-09-10;;169.31;20.03954183;331.0096905;-2.228095238;-35.31190476;108.5
Compexity vs Team 8 for Match.;Complexity;1.806;1.668;3.46;;2014-09-10;;;0.286258993;;-0.164761905;;1.206586826
;;;;;;;;;;;;;
